Sigla da IES;Instituição;Patente;Autores
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;FORMULAÇÃO PARA PREVENÇÃO DA TRISTEZA PARASITÁRIA BOVINA;['FRANCISCO AUGUSTO BURKERT DEL PINO', 'NATALIA MACHADO RAHAL', 'MARCIO NUNES CORREA', 'EDUARDO SCHMITT', 'RUBENS ALVES PEREIRA', 'JOSIANE DE OLIVEIRA FEIJO', 'ANDRE RICARDO FAJARDO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;CONSTRUÇÃO DE DUAS CEPAS DE MYCOBACTERIUM BOVIS BCG RECOMBINANTE EXPRESSANDO A PROTEÍNA DE LISTERIOLISINA O (LLO) PARA TRATAMENTO DE MELANOMA A PARTIR DE DOIS VETORES DE EXPRESSÃO DISTINTOS;['FABIANA KOMMLING SEIXAS', 'STELLA JULLI FARIAS CARDOZO', 'MARIA EDUARDA EHLERT', 'MAYARA YASMIN DA SILVA', 'NIELE SILVA SOUZA', 'BRUNA SILVEIRA PACHECO', 'FERNANDA SEVERO SABEDRA SOUSA', 'THAIS LARRE OLIVEIRA', 'MIRNA SAMARA DIE ALVES', 'SIBELE BORSUK', 'GILCA COSTA NACHTIGAL', 'TIAGO VEIRAS COLLARES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;COKED SOLID AGGLOMERATE AND METHOD FOR PRODUCING SAME;['BRUNO DEVES FLORES', 'Stephen Michael Potter', 'Ronald Lopes de Oliveira', 'Rafael Araujo Lovatti', 'Guilherme Francisco Gonçalves']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;TRANSPORTADOR BIODEGRADÁVEL DE MOLÉCULAS HERBICIDAMENTE ATIVAS;['ANDRE RICARDO FAJARDO', 'MATEUS VICENTE ALVES', 'ANDRESSA BAPTISTA NORNBERG', 'EDINALVO RABAIOLI CAMARGO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;SISTEMA, MÉTODO E DISPOSITIVO DE MONITORAMENTO ONLINE DE TRANSPORTADOR DE CORREIA;['VINICIUS MENEZES DE OLIVEIRA', 'LETIERI RODRIGUES DE AVILA', 'OBERDAN CARRASCO NOGUEIRA', 'RODRIGO ZELIR AZZOLIN']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;DISPOSITIVO MONITOR DE REBANHOS, DO COMPORTAMENTO E ATIVIDADE REPRODUTIVA;['SILVIO RENATO OLIVEIRA MENEGASSI', 'IVAN MULLER']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;OLEOGÉIS À BASE DE ÓLEO DE AMENDOA DO CAROÇO DE BUTIÁ E CERA DE ABELHA COMO SUBSTITUTO DA GORDURA HIDROGENADA EM COOKIES;['CLAUDIO MARTIN PEREIRA DE PEREIRA', 'CAMILA DE OLIVEIRA PACHECO', 'ELDER PACHECO DA CRUZ', 'DANIELLE TAPIA BUENO', 'CRISTINA JANSEN', 'ALVARO RENATO GUERRA DIAS', 'ELESSANDRA DA ROSA ZAVAREZE']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PESSARIO;['EDISON CAPP', 'HELENA VON EYE CORLETA', 'JOSE GERALDO LOPES RAMOS']
UPF;UNIVERSIDADE DE PASSO FUNDO;PROCESSO DE CULTIVO PARA AUMENTO DA PRODUÇÃO DE FICOPIGMENTOS EM CIANOBACTÉRIAS;['JORGE ALBERTO VIEIRA COSTA', 'JESSICA TEIXEIRA DA SILVEIRA', 'ANA PRISCILA CENTENO DA ROSA', 'MICHELE GREQUE DE MORAIS']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;UTILIZAÇÃO DE COMPOSTO SINTÉTICO DERIVADO DA CÂNFORA COMO ANTI-HELMÍNTICO;['DANIELA FERNANDES RAMOS SOARES', 'DEBORA CARVALHO RODRIGUES', 'CARLOS JAMES SCAINI', 'MARCUS VINICIUS NORA DE SOUZA', 'LUCIANA FARIAS DA COSTA DE AVILA']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;COMPOSTO LÁCTEO EM PÓ COM ADIÇÃO DE SPIRULINA MICROENCAPSULADA E PROCESSO DE OBTENÇÃO DO REFERIDO COMPOSTO;['NEILA SILVIA PEREIRA DOS SANTOS RICHARDS', 'L. E. BENDER', 'TELMA ELITA BERTOLIN', 'CINTIA GUARIENTI']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;PROCESSO PARA CONCENTRAR FITONUTRIENTES A PARTIR DE DESTILADO DESODORIZADO DE ÓLEO VEGETAL;['CRISTIANO AUGUSTO BALLUS', 'DANIEL ASSUMPCAO BERTUOL']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;"URS EXTREMA. 2024, BRASIL. NÚMERO DO REGISTRO: 57226, TÍTULO: ""URS EXTREMA""";['LUIZ CARLOS FEDERIZZI', 'MARCELO TEIXEIRA PACHECO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;MÉTODO DE DETECÇÃO MOLECULAR DE COLORAÇÃO DE PELAGEM EM EQUINOS UTILIZANDO OLIGONUCLEOTÍDEOS INICIADORES;['VINICIUS FARIAS CAMPOS', 'MARIANA CAVALCANTI NASCIMENTO', 'LUANA FERREIRA VIANA DOS REIS', 'LAIS DOS SANTOS GONCALVES', 'HADASSA GABRIELA ORTIZ', 'WILLIAM BORGES DOMINGUES']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;INIBIDOR DE CORROSÃO MISTO A APARTIR DE EXTRATO PIROLENHOSO PARA APLICAÇÕES EM MEIOS VARIADOS;['RAFAEL BELTRAME', 'ANDRE LUIZ MISSIO', 'DARCI ALBERTO GATTO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;MÉTODO PARA GENOTIPAGEM DO POLIMORFISMO RS11872992 DO GENE MC4R;['CARLOS CASTILHO DE BARROS', 'ALICE KUNZGEN SCHEER', 'AMANDA BARBOSA ATRIB', 'CLEDIA SILVEIRA FLORES DA SILVA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PROCESSO DE BENEFICIAMENTO DE LODO DE ESTAÇÃO DE TRATAMENTO DE ÁGUA PARA A CONFECÇÃO DE PRODUTOS CERÂMICOS E CIMENTÍCIOS;['MAURIZIO SILVEIRA QUADRO', 'LUIZA BEATRIZ GAMBOA ARAUJO MORSELLI', 'ROBSON ANDREAZZA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;UTILIZAÇÃO DE COMPOSTO SINTÉTICO DERIVADO DA PIRIMIDINA COMO ANTI-HELMÍNTICO;['DANIELA FERNANDES RAMOS SOARES', 'CARLOS JAMES SCAINI', 'LUCIANA FARIAS DA COSTA DE AVILA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;COMPOSIÇÃO FARMACÊUTICA COMPREENDENDO ACHYROBICHALCONA E O USO DO COMPOSTO ACHYROBICHALCONA;['VALQUIRIA LINCK BASSANI', 'SARA ELIS BIANCHI', 'FABIO KLAMT']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;ASSOCIAÇÃO ANTIPARASITÁRIA COM NITAZOXANIDA PARA USO EM CÃES;['MARCIA DE OLIVEIRA NOBRE', 'KAYANE ROSALES MOLARINHO', 'BRUNO CABRAL CHAGAS', 'RUBENS ALVES PEREIRA', 'SERGIO JORGE']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PROCESSO DE CULTIVO DE MICRORGANISMOS, COMPOSIÇÃO E USO DE ENDÓSPOROS;['JOSELI SCHWAMBACH', 'ALESSANDRA RUSSI']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;LAB COLOR CHART;['CESAR VALMOR ROMBALDI', 'ARLIENE DO SOCORRO BATISTA DOS SANTOS', 'RENIRES DOS SANTOS TEIXEIRA', 'MARCIA VIZZOTTO', 'LEONARDO NORA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;FRACIONADOR DE SÓLIDOS EM SUSPENSÃO COM NIVELAMENTO SIFONADO PARA ÁGUAS DE CULTIVOS BFT ('BIOFLOC TECHNOLOGY SYSTEM');['CESAR SERRA BONIFACIO COSTA', 'LUIS AUGUSTO GHIRALDELLI']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;REGULADOR MAGNÉTICO PLANAR;['LEANDRO ROGGIA', 'CONRADO GOMES MARQUES', 'SEBASTIAN MOREIRA GOMES MARTINS', 'MARINA MENDES SARGENTO DOMINGUES PERDIGÃO', 'ALYSSON RANIERE SEIDEL', 'FABIO ECKE BISOGNO']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;SISTEMA DE MEDIÇÃO DE CAMPO ELÉTRICO ONIPRESENTE E MÓVEL PARA PREVISÃO DE RAIOS;['CESAR DAVID PAREDES CROVATO', 'JAIME CRISTIANO SCHREINER', 'ARTHUR DE JESUS STAATS', 'DANIEL LORSCHEITTER BAPTISTA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PROCESS FOR PREPARING A POLYBENZOXAZINE-DERIVED CARBON MEMBRANE, CARBON MEMBRANE, USE OF SAID MEMBRANE FOR SEPARATING INDUSTRIAL GASES AND PERMEATION MODULE;['NILSON ROMEU MARCILIO', 'LUCAS KIRSCH SCHINDEL', 'AUGUSTO MOHR CHRISTMANN', 'ISABEL CRISTINA TESSARO', 'ANDRE RODRIGUES MUNIZ']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DESENVOLVIMENTO DE NANOEMULSÕES PICKERING DE NANOFIBRAS DE QUITINA COM EXTRATO BIOATIVO DE RESÍDUO DE LÚPULO;['LUIZ ANTONIO DE ALMEIDA PINTO', 'GABRIEL COSTA COELHO', 'LISIANE BALDEZ DA CUNHA', 'BRUNA SILVA DE FARIAS', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;BIOFILME NANOTECNOLÓGICO CONTENDO IMIQUIMODE E NANOCÁPSULAS POLIMÉRICAS PARA APLICAÇÃO EM MUCOSAS INTRABUCAIS;['ADRIANA RAFFIN POHLMANN', 'SÍLVIA STANISÇUASKI GUTERRES', 'VICTOR DE MELLO PALMA', 'GRAZIELA SCHEUER GOMES', 'LUIZA ABRAHAO FRANK', 'FERNANDA VISIOLI']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PROTEÍNA QUIMÉRICA RECOMBINANTE CONTENDO EPÍTOPOS DAS PROTEÍNAS CAM87009.1 E FILF DE ACINETOBACTER BAUMANNII;['DANIELA PIRES GOUVEA', 'THAYNA LANER CARDOSO', 'PAMELA SCARAFFUNI CABALLERO', 'DAIANE DRAWANZ HARTWIG', 'LUCIANO DA SILVA PINTO', 'AMILTON CLAIR PINTO SEIXAS NETO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;CIELAB TO 3D RGB COLOR CHART CONVERTER;['CESAR VALMOR ROMBALDI', 'FLAVIA TAYNA SERRA SILVA', 'RENIRES DOS SANTOS TEIXEIRA', 'GABRIEL LAQUETE DE BARROS', 'MARCIA VIZZOTTO', 'LEONARDO NORA', 'FERNANDA IZABEL GARCIA DA ROCHA CONCENCO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;DNA SINTÉTICO RECOMBINANTE PARA EXPRESSÃO DE IGF1A EM ESPÉCIES PROBIÓTICAS;['VINICIUS FARIAS CAMPOS', 'JADE RIET GRAMINHO', 'LUIS FERNANDO FERNANDES MARINS', 'JOAO COSTA FILHO', 'BRUNA FELIX DA SILVA NORNBERG']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;MÉTODO PARA OBTER UM MODELO DE REDE NEURAL ARTIFICIAL (RNA) PARA ESTIMATIVA DE CARBONO ORGÂNICO TOTAL (COT) A PARTIR DE DADOS HIPERESPECTRAIS DE AMOSTRAS DE ROCHA;['MAURICIO ROBERTO VERONEZ', 'TAINA THOMASSIM GUIMARAES', 'LEANDRO TONIETTO', 'LUIZ GONZAGA DA SILVEIRA JUNIOR', 'ANDRE LUIZ DURANTE SPIGOLON', 'IVANDRO KLEIN']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;SISTEMA BIODEGRADÁVEL CARREADOR DE MOLÉCULAS HERBICIDAMENTE ATIVAS;['ANDRE RICARDO FAJARDO', 'MATEUS VICENTE ALVES', 'ANDRESSA BAPTISTA NORNBERG', 'EDINALVO RABAIOLI CAMARGO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;USO DE AGENTES MODULADORES (GRP) PARA PREPARAÇÃO DE MEDICAMENTOS ANTITUMORAIS, COMPOSIÇÃO COMPREENDENDO AGENTES MODULADORES ANTITUMORAIS, MÉTODO DE MODULAÇÃO DE TUMORES UTILIZANDO AGENTES MODULADORES (PATENTE BR 10 2012 012574 9);['CAROLINE BRUNETTO DE FARIAS', 'ANA LUCIA ABUJAMRA', 'GILBERTO SCHWARTSMANN', 'RAFAEL ROESLER', 'DANIELA BAUMANN CORNELIO']
URI;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;GRAFENOSILICATO SINTETIZADO PELO MEIO SOL-GEL UTILIZANDO CINZAS DAS CASCAS DE ARROZ COMO FONTE DE SÍLICA;['ROGERIO MARCOS DAL LAGO', 'MARCELO LUIS MIGNONI']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;UTILIZAÇÃO DA 7-CLORO-4-(FENILSELANIL) QUINOLINA COMO AGENTE ANTITUMORAL PARA CÂNCER DE MAMA, LEUCEMIA, SARCOMA E DE BEXIGA;['DIEGO DA SILVA ALVES', 'KETLYN PEREIRA DA MOTTA', 'ALLYA LARROZA MUHAMMAD EID', 'JAINI JANKE PALTIAN', 'ANGELICA SCHIAVOM DOS REIS', 'BRUNA SILVEIRA PACHECO', 'ETHEL ANTUNES WILHELM', 'TIAGO VEIRAS COLLARES', 'FABIANA KOMMLING SEIXAS']
